Description,ICD Code
Newborn affected by other conditions from chorioamnionitis,P02.78
Newborn affected by other maternal medication,P04.1
Newborn affected by maternal antineoplastic chemotherapy,P04.11
Newborn affected by maternal cytotoxic drugs,P04.12
Newborn affected by maternal use of anticonvulsants,P04.13
Newborn affected by maternal use of opiates,P04.14
Newborn affected by maternal use of antidepressants,P04.15
Newborn affected by maternal use of amphetamines,P04.16
Newborn affected by maternal use of sedative-hypnotics,P04.17
Newborn affected by other maternal medication,P04.18
Newborn affected by maternal use of unspecified medication,P04.19
Newborn affected by maternal use of anxiolytics,P04.1A
Newborn affected by maternal use of unspecified drugs of addiction,P04.40
Newborn affected by maternal use of hallucinogens,P04.42
Newborn affected by other maternal noxious substances,P04.8
Newborn affected by maternal use of cannabis,P04.81
Newborn affected by other maternal noxious substances,P04.89
Congenital Zika virus disease,P35.4
Disturbances of sodium balance of newborn,P74.2
Hypernatremia of newborn,P74.21
Hyponatremia of newborn,P74.22
Disturbances of potassium balance of newborn,P74.3
Hyperkalemia of newborn,P74.31
Hypokalemia of newborn,P74.32
Other transitory electrolyte disturbances of newborn,P74.4
Alkalosis of newborn,P74.41
Disturbances of chlorine balance of newborn,P74.42
Hyperchloremia of newborn,P74.421
Hypochloremia of newborn,P74.422
Other transitory electrolyte disturbance of newborn,P74.49
Other doubling of uterus,Q51.2
"Other doubling of uterus, unspecified",Q51.20
Other complete doubling of uterus,Q51.21
Other partial doubling of uterus,Q51.22
"Other doubling of uterus, other specified",Q51.28
Other deletions of part of a chromosome,Q93.5
Angelman syndrome,Q93.51
Other deletions of part of a chromosome,Q93.59
Williams syndrome,Q93.82
Other abnormal findings in urine,R82.99
Hypocitraturia,R82.991
Hyperoxaluria,R82.992
Hyperuricoscuria,R82.993
Hypercalciuria,R82.994
Other abnormal findings in urine,R82.998
Abnormal findings on diagnostic imaging of other specified body structures,R93.8
Abnormal radiologic findings on diagnostic imaging of testis,R93.81
Abnormal radiologic findings on diagnostic imaging of right testicle,R93.811
Abnormal radiologic findings on diagnostic imaging of left testicle,R93.812
"Abnormal radiologic findings on diagnostic imaging of testicles, bilateral",R93.813
Abnormal radiologic findings on diagnostic imaging of unspecified testicle,R93.819
Abnormal findings on diagnostic imaging of other specified body structures,R93.89
Poisoning by ecstasy,T43.64
"Poisoning by ecstasy, accidental (unintentional)",T43.641
"Poisoning by ecstasy, accidental (unintentional), initial encounter",T43.641A
"Poisoning by ecstasy, accidental (unintentional), subsequent encounter",T43.641D
"Poisoning by ecstasy, accidental (unintentional), sequela",T43.641S
"Poisoning by ecstasy, intentional self-harm",T43.642
"Poisoning by ecstasy, intentional self-harm, initial encounter",T43.642A
"Poisoning by ecstasy, intentional self-harm, subsequent encounter",T43.642D
"Poisoning by ecstasy, intentional self-harm, sequela",T43.642S
"Poisoning by ecstasy, assault",T43.643
"Poisoning by ecstasy, assault, initial encounter",T43.643A
"Poisoning by ecstasy, assault, subsequent encounter",T43.643D
"Poisoning by ecstasy, assault, sequela",T43.643S
"Poisoning by ecstasy, undetermined",T43.644
"Poisoning by ecstasy, undetermined, initial encounter",T43.644A
"Poisoning by ecstasy, undetermined, subsequent encounter",T43.644D
"Poisoning by ecstasy, undetermined, sequela",T43.644S
"Forced sexual exploitation, confirmed",T74.5
"Adult forced sexual exploitation, confirmed",T74.51
"Adult forced sexual exploitation, confirmed, initial encounter",T74.51XA
"Adult forced sexual exploitation, confirmed, subsequent encounter",T74.51XD
"Adult forced sexual exploitation, confirmed, sequela",T74.51XS
"Child sexual exploitation, confirmed",T74.52
"Child sexual exploitation, confirmed, initial encounter",T74.52XA
"Child sexual exploitation, confirmed, subsequent encounter",T74.52XD
"Child sexual exploitation, confirmed, sequela",T74.52XS
"Forced labor exploitation, confirmed",T74.6
"Adult forced labor exploitation, confirmed",T74.61
"Adult forced labor exploitation, confirmed, initial encounter",T74.61XA
"Adult forced labor exploitation, confirmed, subsequent encounter",T74.61XD
"Adult forced labor exploitation, confirmed, sequela",T74.61XS
"Child forced labor exploitation, confirmed",T74.62
"Child forced labor exploitation, confirmed, initial encounter",T74.62XA
"Child forced labor exploitation, confirmed, subsequent encounter",T74.62XD
"Child forced labor exploitation, confirmed, sequela",T74.62XS
"Forced sexual exploitation, suspected",T76.5
"Adult forced sexual exploitation, suspected",T76.51
"Adult forced sexual exploitation, suspected, initial encounter",T76.51XA
"Adult forced sexual exploitation, suspected, subsequent encounter",T76.51XD
"Adult forced sexual exploitation, suspected, sequela",T76.51XS
"Child sexual exploitation, suspected",T76.52
"Child sexual exploitation, suspected, initial encounter",T76.52XA
"Child sexual exploitation, suspected, subsequent encounter",T76.52XD
"Child sexual exploitation, suspected, sequela",T76.52XS
"Forced labor exploitation, suspected",T76.6
"Adult forced labor exploitation, suspected",T76.61
"Adult forced labor exploitation, suspected, initial encounter",T76.61XA
"Adult forced labor exploitation, suspected, subsequent encounter",T76.61XD
"Adult forced labor exploitation, suspected, sequela",T76.61XS
"Child forced labor exploitation, suspected",T76.62
"Child forced labor exploitation, suspected, initial encounter",T76.62XA
"Child forced labor exploitation, suspected, subsequent encounter",T76.62XD
"Child forced labor exploitation, suspected, sequela",T76.62XS
"Infection following a procedure, unspecified",T81.40
"Infection following a procedure, unspecified, initial encounter",T81.40XA
"Infection following a procedure, unspecified, subsequent encounter",T81.40XD
"Infection following a procedure, unspecified, sequela",T81.40XS
"Infection following a procedure, superficial incisional surgical site",T81.41
"Infection following a procedure, superficial incisional surgical site, initial encounter",T81.41XA
"Infection following a procedure, superficial incisional surgical site, subsequent encounter",T81.41XD
"Infection following a procedure, superficial incisional surgical site, sequela",T81.41XS
"Infection following a procedure, deep incisional surgical site",T81.42
"Infection following a procedure, deep incisional surgical site, initial encounter",T81.42XA
"Infection following a procedure, deep incisional surgical site, subsequent encounter",T81.42XD
"Infection following a procedure, deep incisional surgical site, sequela",T81.42XS
"Infection following a procedure, organ and space surgical site",T81.43
"Infection following a procedure, organ and space surgical site, initial encounter",T81.43XA
"Infection following a procedure, organ and space surgical site, subsequent encounter",T81.43XD
"Infection following a procedure, organ and space surgical site, sequela",T81.43XS
Sepsis following a procedure,T81.44
"Sepsis following a procedure, initial encounter",T81.44XA
"Sepsis following a procedure, subsequent encounter",T81.44XD
"Sepsis following a procedure, sequela",T81.44XS
"Infection following a procedure, other surgical site",T81.49
"Infection following a procedure, other surgical site, initial encounter",T81.49XA
"Infection following a procedure, other surgical site, subsequent encounter",T81.49XD
"Infection following a procedure, other surgical site, sequela",T81.49XS
Multiple perpetrators of maltreatment and neglect,Y07.6
Encounter for examination and observation for other specified reasons,Z04.8
Encounter for examination and observation of victim following forced sexual exploitation,Z04.81
Encounter for examination and observation of victim following forced labor exploitation,Z04.82
Encounter for examination and observation for other specified reasons,Z04.89
Encounter for screening examination for mental health and behavioral disorders,Z13.3
"Encounter for screening examination for mental health and behavioral disorders, unspecified",Z13.30
Encounter for screening for depression,Z13.31
Encounter for screening for maternal depression,Z13.32
Encounter for screening examination for other mental health and behavioral disorders,Z13.39
Encounter for screening for certain developmental disorders in childhood,Z13.4
Encounter for screening for unspecified developmental delays,Z13.40
Encounter for autism screening,Z13.41
Encounter for screening for global developmental delays (milestones),Z13.42
Encounter for screening for other developmental delays,Z13.49
Contact with and (suspected) exposure to Zika virus,Z20.821
Immunization not carried out due to unavailability of vaccine,Z28.83
Personal history of forced labor or sexual exploitation in childhood,Z62.813
Family history of other disorder of lipoprotein metabolism and other lipidemias,Z83.43
Family history of elevated lipoprotein(a),Z83.430
Family history of other disorder of lipoprotein metabolism and other lipidemia,Z83.438
Personal history of forced labor or sexual exploitation,Z91.42
Enterocolitis due to Clostridium difficile,A04.7
"Enterocolitis due to Clostridium difficile, recurrent",A04.71
"Enterocolitis due to Clostridium difficile, not specified as recurrent",A04.72
Malignant mast cell neoplasm,C96.2
"Malignant mast cell neoplasm, unspecified",C96.20
Aggressive systemic mastocytosis,C96.21
Mast cell sarcoma,C96.22
Other malignant mast cell neoplasm,C96.29
Mast cell neoplasms of uncertain behavior,D47.0
Cutaneous mastocytosis,D47.01
Systemic mastocytosis,D47.02
Other mast cell neoplasms of uncertain behavior,D47.09
Type 2 diabetes mellitus with ketoacidosis,E11.1
Type 2 diabetes mellitus with ketoacidosis without coma,E11.10
Type 2 diabetes mellitus with ketoacidosis with coma,E11.11
Other amyloidosis,E85.8
Light chain (AL) amyloidosis,E85.81
Wild-type transthyretin-related (ATTR) amyloidosis,E85.82
Other amyloidosis,E85.89
"Alcohol abuse, in remission",F10.11
"Opioid abuse, in remission",F11.11
"Cannabis abuse, in remission",F12.11
"Sedative, hypnotic or anxiolytic abuse, in remission",F13.11
"Cocaine abuse, in remission",F14.11
"Other stimulant abuse, in remission",F15.11
"Hallucinogen abuse, in remission",F16.11
"Inhalant abuse, in remission",F18.11
"Other psychoactive substance abuse, in remission",F19.11
Avoidant/restrictive food intake disorder,F50.82
Primary lateral sclerosis,G12.23
Familial motor neuron disease,G12.24
Progressive spinal muscle atrophy,G12.25
Degenerative myopia with choroidal neovascularization,H44.2A
"Degenerative myopia with choroidal neovascularization, right eye",H44.2A1
"Degenerative myopia with choroidal neovascularization, left eye",H44.2A2
"Degenerative myopia with choroidal neovascularization, bilateral eye",H44.2A3
"Degenerative myopia with choroidal neovascularization, unspecified eye",H44.2A9
Degenerative myopia with macular hole,H44.2B
"Degenerative myopia with macular hole, right eye",H44.2B1
"Degenerative myopia with macular hole, left eye",H44.2B2
"Degenerative myopia with macular hole, bilateral eye",H44.2B3
"Degenerative myopia with macular hole, unspecified eye",H44.2B9
Degenerative myopia with retinal detachment,H44.2C
"Degenerative myopia with retinal detachment, right eye",H44.2C1
"Degenerative myopia with retinal detachment, left eye",H44.2C2
"Degenerative myopia with retinal detachment, bilateral eye",H44.2C3
"Degenerative myopia with retinal detachment, unspecified eye",H44.2C9
Degenerative myopia with foveoschisis,H44.2D
"Degenerative myopia with foveoschisis, right eye",H44.2D1
"Degenerative myopia with foveoschisis, left eye",H44.2D2
"Degenerative myopia with foveoschisis, bilateral eye",H44.2D3
"Degenerative myopia with foveoschisis, unspecified eye",H44.2D9
Degenerative myopia with other maculopathy,H44.2E
"Degenerative myopia with other maculopathy, right eye",H44.2E1
"Degenerative myopia with other maculopathy, left eye",H44.2E2
"Degenerative myopia with other maculopathy, bilateral eye",H44.2E3
"Degenerative myopia with other maculopathy, unspecified eye",H44.2E9
"Blindness, both eyes",H54.0
"Blindness, both eyes, different category levels",H54.0X
"Blindness right eye, category 3",H54.0X3
"Blindness right eye category 3, blindness left eye category 3",H54.0X33
"Blindness right eye category 3, blindness left eye category 4",H54.0X34
"Blindness right eye category 3, blindness left eye category 5",H54.0X35
"Blindness right eye, category 4",H54.0X4
"Blindness right eye category 4, blindness left eye category 3",H54.0X43
"Blindness right eye category 4, blindness left eye category 4",H54.0X44
"Blindness right eye category 4, blindness left eye category 5",H54.0X45
"Blindness right eye, category 5",H54.0X5
"Blindness right eye category 5, blindness left eye category 3",H54.0X53
"Blindness right eye category 5, blindness left eye category 4",H54.0X54
"Blindness right eye category 5, blindness left eye category 5",H54.0X55
"Blindness, right eye, low vision left eye",H54.11
"Blindness right eye category 3, low vision left eye",H54.113
"Blindness right eye category 3, low vision left eye category 1",H54.1131
"Blindness right eye category 3, low vision left eye category 2",H54.1132
"Blindness right eye category 4, low vision left eye",H54.114
"Blindness right eye category 4, low vision left eye category 1",H54.1141
"Blindness right eye category 4, low vision left eye category 2",H54.1142
"Blindness right eye category 5, low vision left eye",H54.115
"Blindness right eye category 5, low vision left eye category 1",H54.1151
"Blindness right eye category 5, low vision left eye category 2",H54.1152
"Blindness, left eye, low vision right eye",H54.12
"Low vision right eye category 1, blindness left eye",H54.121
"Low vision right eye category 1, blindness left eye category 3",H54.1213
"Low vision right eye category 1, blindness left eye category 4",H54.1214
"Low vision right eye category 1, blindness left eye category 5",H54.1215
"Low vision right eye category 2, blindness left eye",H54.122
"Low vision right eye category 2, blindness left eye category 3",H54.1223
"Low vision right eye category 2, blindness left eye category 4",H54.1224
"Low vision right eye category 2, blindness left eye category 5",H54.1225
"Low vision, both eyes",H54.2
"Low vision, both eyes, different category levels",H54.2X
"Low vision, right eye, category 1",H54.2X1
"Low vision right eye category 1, low vision left eye category 1",H54.2X11
"Low vision right eye category 1, low vision left eye category 2",H54.2X12
"Low vision, right eye, category 2",H54.2X2
"Low vision right eye category 2, low vision left eye category 1",H54.2X21
"Low vision right eye category 2, low vision left eye category 2",H54.2X22
"Blindness, right eye, normal vision left eye",H54.41
"Blindness, right eye, category 3",H54.413
"Blindness right eye category 3, normal vision left eye",H54.413A
"Blindness, right eye, category 4",H54.414
"Blindness right eye category 4, normal vision left eye",H54.414A
"Blindness, right eye, category 5",H54.415
"Blindness right eye category 5, normal vision left eye",H54.415A
"Blindness, left eye, normal vision right eye",H54.42
"Blindness, left eye, category 3-5",H54.42A
"Blindness left eye category 3, normal vision right eye",H54.42A3
"Blindness left eye category 4, normal vision right eye",H54.42A4
"Blindness left eye category 5, normal vision right eye",H54.42A5
"Low vision, right eye, normal vision left eye",H54.51
"Low vision, right eye, category 1-2",H54.511
"Low vision right eye category 1, normal vision left eye",H54.511A
"Low vision right eye category 2, normal vision left eye",H54.512A
"Low vision, left eye, normal vision right eye",H54.52
"Low vision, left eye, category 1-2",H54.52A
"Low vision left eye category 1, normal vision right eye",H54.52A1
"Low vision left eye category 2, normal vision right eye",H54.52A2
"Acute myocardial infarction, unspecified",I21.9
Other type of myocardial infarction,I21.A
Myocardial infarction type 2,I21.A1
Other myocardial infarction type,I21.A9
Other secondary pulmonary hypertension,I27.2
"Pulmonary hypertension, unspecified",I27.20
Secondary pulmonary arterial hypertension,I27.21
Pulmonary hypertension due to left heart disease,I27.22
Pulmonary hypertension due to lung diseases and hypoxia,I27.23
Chronic thromboembolic pulmonary hypertension,I27.24
Other secondary pulmonary hypertension,I27.29
Eisenmenger's syndrome,I27.83
Other heart failure,I50.8
Right heart failure,I50.81
"Right heart failure, unspecified",I50.810
Acute right heart failure,I50.811
Chronic right heart failure,I50.812
Acute on chronic right heart failure,I50.813
Right heart failure due to left heart failure,I50.814
Biventricular heart failure,I50.82
High output heart failure,I50.83
End stage heart failure,I50.84
Other heart failure,I50.89
Gingival recession,K06.0
"Gingival recession, localized",K06.01
"Localized gingival recession, unspecified",K06.010
"Localized gingival recession, minimal",K06.011
"Localized gingival recession, moderate",K06.012
"Localized gingival recession, severe",K06.013
"Gingival recession, generalized",K06.02
"Generalized gingival recession, unspecified",K06.020
"Generalized gingival recession, minimal",K06.021
"Generalized gingival recession, moderate",K06.022
"Generalized gingival recession, severe",K06.023
Intestinal adhesions [bands] with obstruction (postinfection),K56.5
"Intestinal adhesions [bands], unspecified as to partial versus complete obstruction",K56.50
"Intestinal adhesions [bands], with partial obstruction",K56.51
Intestinal adhesions [bands] with complete obstruction,K56.52
Unspecified intestinal obstruction,K56.60
"Partial intestinal obstruction, unspecified as to cause",K56.600
"Complete intestinal obstruction, unspecified as to cause",K56.601
"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction",K56.609
Other intestinal obstruction,K56.69
Other partial intestinal obstruction,K56.690
Other complete intestinal obstruction,K56.691
Other intestinal obstruction unspecified as to partial versus complete obstruction,K56.699
Postprocedural intestinal obstruction,K91.3
"Postprocedural intestinal obstruction, unspecified as to partial versus complete",K91.30
Postprocedural partial intestinal obstruction,K91.31
Postprocedural complete intestinal obstruction,K91.32
Non-pressure chronic ulcer of unspecified thigh with muscle involvement without evidence of necrosis,L97.105
Non-pressure chronic ulcer of unspecified thigh with bone involvement without evidence of necrosis,L97.106
Non-pressure chronic ulcer of unspecified thigh with other specified severity,L97.108
Non-pressure chronic ulcer of right thigh with muscle involvement without evidence of necrosis,L97.115
Non-pressure chronic ulcer of right thigh with bone involvement without evidence of necrosis,L97.116
Non-pressure chronic ulcer of right thigh with other specified severity,L97.118
Non-pressure chronic ulcer of left thigh with muscle involvement without evidence of necrosis,L97.125
Non-pressure chronic ulcer of left thigh with bone involvement without evidence of necrosis,L97.126
Non-pressure chronic ulcer of left thigh with other specified severity,L97.128
Non-pressure chronic ulcer of unspecified calf with muscle involvement without evidence of necrosis,L97.205
Non-pressure chronic ulcer of unspecified calf with bone involvement without evidence of necrosis,L97.206
Non-pressure chronic ulcer of unspecified calf with other specified severity,L97.208
Non-pressure chronic ulcer of right calf with muscle involvement without evidence of necrosis,L97.215
Non-pressure chronic ulcer of right calf with bone involvement without evidence of necrosis,L97.216
Non-pressure chronic ulcer of right calf with other specified severity,L97.218
Non-pressure chronic ulcer of left calf with muscle involvement without evidence of necrosis,L97.225
Non-pressure chronic ulcer of left calf with bone involvement without evidence of necrosis,L97.226
Non-pressure chronic ulcer of left calf with other specified severity,L97.228
Non-pressure chronic ulcer of unspecified ankle with muscle involvement without evidence of necrosis,L97.305
Non-pressure chronic ulcer of unspecified ankle with bone involvement without evidence of necrosis,L97.306
Non-pressure chronic ulcer of unspecified ankle with other specified severity,L97.308
Non-pressure chronic ulcer of right ankle with muscle involvement without evidence of necrosis,L97.315
Non-pressure chronic ulcer of right ankle with bone involvement without evidence of necrosis,L97.316
Non-pressure chronic ulcer of right ankle with other specified severity,L97.318
Non-pressure chronic ulcer of left ankle with muscle involvement without evidence of necrosis,L97.325
Non-pressure chronic ulcer of left ankle with bone involvement without evidence of necrosis,L97.326
Non-pressure chronic ulcer of left ankle with other specified severity,L97.328
Non-pressure chronic ulcer of unspecified heel and midfoot with muscle involvement without evidence of necrosis,L97.405
Non-pressure chronic ulcer of unspecified heel and midfoot with bone involvement without evidence of necrosis,L97.406
Non-pressure chronic ulcer of unspecified heel and midfoot with other specified severity,L97.408
Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis,L97.415
Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis,L97.416
Non-pressure chronic ulcer of right heel and midfoot with other specified severity,L97.418
Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis,L97.425
Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis,L97.426
Non-pressure chronic ulcer of left heel and midfoot with other specified severity,L97.428
Non-pressure chronic ulcer of other part of unspecified foot with muscle involvement without evidence of necrosis,L97.505
Non-pressure chronic ulcer of other part of unspecified foot with bone involvement without evidence of necrosis,L97.506
Non-pressure chronic ulcer of other part of unspecified foot with other specified severity,L97.508
Non-pressure chronic ulcer of other part of right foot with muscle involvement without evidence of necrosis,L97.515
Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis,L97.516
Non-pressure chronic ulcer of other part of right foot with other specified severity,L97.518
Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis,L97.525
Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis,L97.526
Non-pressure chronic ulcer of other part of left foot with other specified severity,L97.528
Non-pressure chronic ulcer of other part of unspecified lower leg with muscle involvement without evidence of necrosis,L97.805
Non-pressure chronic ulcer of other part of unspecified lower leg with bone involvement without evidence of necrosis,L97.806
Non-pressure chronic ulcer of other part of unspecified lower leg with other specified severity,L97.808
Non-pressure chronic ulcer of other part of right lower leg with muscle involvement without evidence of necrosis,L97.815
Non-pressure chronic ulcer of other part of right lower leg with bone involvement without evidence of necrosis,L97.816
Non-pressure chronic ulcer of other part of right lower leg with other specified severity,L97.818
Non-pressure chronic ulcer of other part of left lower leg with muscle involvement without evidence of necrosis,L97.825
Non-pressure chronic ulcer of other part of left lower leg with bone involvement without evidence of necrosis,L97.826
Non-pressure chronic ulcer of other part of left lower leg with other specified severity,L97.828
Non-pressure chronic ulcer of unspecified part of unspecified lower leg with muscle involvement without evidence of necrosis,L97.905
Non-pressure chronic ulcer of unspecified part of unspecified lower leg with bone involvement without evidence of necrosis,L97.906
Non-pressure chronic ulcer of unspecified part of unspecified lower leg with other specified severity,L97.908
Non-pressure chronic ulcer of unspecified part of right lower leg with muscle involvement without evidence of necrosis,L97.915
Non-pressure chronic ulcer of unspecified part of right lower leg with bone involvement without evidence of necrosis,L97.916
Non-pressure chronic ulcer of unspecified part of right lower leg with other specified severity,L97.918
Non-pressure chronic ulcer of unspecified part of left lower leg with muscle involvement without evidence of necrosis,L97.925
Non-pressure chronic ulcer of unspecified part of left lower leg with bone involvement without evidence of necrosis,L97.926
Non-pressure chronic ulcer of unspecified part of left lower leg with other specified severity,L97.928
Non-pressure chronic ulcer of buttock with muscle involvement without evidence of necrosis,L98.415
Non-pressure chronic ulcer of buttock with bone involvement without evidence of necrosis,L98.416
Non-pressure chronic ulcer of buttock with other specified severity,L98.418
Non-pressure chronic ulcer of back with muscle involvement without evidence of necrosis,L98.425
Non-pressure chronic ulcer of back with bone involvement without evidence of necrosis,L98.426
Non-pressure chronic ulcer of back with other specified severity,L98.428
Non-pressure chronic ulcer of other sites with muscle involvement without evidence of necrosis,L98.495
Non-pressure chronic ulcer of other sites with bone involvement without evidence of necrosis,L98.496
Non-pressure chronic ulcer of other sites with other specified severity,L98.498
Juvenile dermatomyositis without myopathy,M33.03
Other dermatomyositis without myopathy,M33.13
"Dermatopolymyositis, unspecified without myopathy",M33.93
"Spinal stenosis, lumbar region",M48.06
"Spinal stenosis, lumbar region without neurogenic claudication",M48.061
"Spinal stenosis, lumbar region with neurogenic claudication",M48.062
Unspecified lump in breast,N63
Unspecified lump in unspecified breast,N63.0
Unspecified lump in the right breast,N63.1
"Unspecified lump in the right breast, unspecified quadrant",N63.10
"Unspecified lump in the right breast, upper outer quadrant",N63.11
"Unspecified lump in the right breast, upper inner quadrant",N63.12
"Unspecified lump in the right breast, lower outer quadrant",N63.13
"Unspecified lump in the right breast, lower inner quadrant",N63.14
Unspecified lump in the left breast,N63.2
"Unspecified lump in the left breast, unspecified quadrant",N63.20
"Unspecified lump in the left breast, upper outer quadrant",N63.21
"Unspecified lump in the left breast, upper inner quadrant",N63.22
"Unspecified lump in the left breast, lower outer quadrant",N63.23
"Unspecified lump in the left breast, lower inner quadrant",N63.24
Unspecified lump in axillary tail,N63.3
Unspecified lump in axillary tail of the right breast,N63.31
Unspecified lump in axillary tail of the left breast,N63.32
"Unspecified lump in breast, subareolar",N63.4
"Unspecified lump in right breast, subareolar",N63.41
"Unspecified lump in left breast, subareolar",N63.42
Tubal pregnancy without intrauterine pregnancy,O00.10
Right tubal pregnancy without intrauterine pregnancy,O00.101
Left tubal pregnancy without intrauterine pregnancy,O00.102
Unspecified tubal pregnancy without intrauterine pregnancy,O00.109
Tubal pregnancy with intrauterine pregnancy,O00.11
Right tubal pregnancy with intrauterine pregnancy,O00.111
Left tubal pregnancy with intrauterine pregnancy,O00.112
Unspecified tubal pregnancy with intrauterine pregnancy,O00.119
Ovarian pregnancy without intrauterine pregnancy,O00.20
Right ovarian pregnancy without intrauterine pregnancy,O00.201
Left ovarian pregnancy without intrauterine pregnancy,O00.202
Unspecified ovarian pregnancy without intrauterine pregnancy,O00.209
Ovarian pregnancy with intrauterine pregnancy,O00.21
Right ovarian pregnancy with intrauterine pregnancy,O00.211
Left ovarian pregnancy without intrauterine pregnancy,O00.212
Unspecified ovarian pregnancy with intrauterine pregnancy,O00.219
Maternal care for abnormalities of the fetal heart rate or rhythm,O36.83
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester",O36.831
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, not applicable or unspecified",O36.8310
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 1",O36.8311
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 2",O36.8312
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 3",O36.8313
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 4",O36.8314
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 5",O36.8315
"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, other fetus",O36.8319
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester",O36.832
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, not applicable or unspecified",O36.8320
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 1",O36.8321
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 2",O36.8322
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 3",O36.8323
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 4",O36.8324
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 5",O36.8325
"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, other fetus",O36.8329
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester",O36.833
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, not applicable or unspecified",O36.8330
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 1",O36.8331
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 2",O36.8332
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 3",O36.8333
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 4",O36.8334
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 5",O36.8335
"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, other fetus",O36.8339
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester",O36.839
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, not applicable or unspecified",O36.8390
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 1",O36.8391
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 2",O36.8392
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3",O36.8393
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 4",O36.8394
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 5",O36.8395
"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus",O36.8399
Persistent fetal circulation,P29.3
Pulmonary hypertension of newborn,P29.30
Other persistent fetal circulation,P29.38
Gestational alloimmune liver disease,P78.84
Other specified conditions of integument specific to newborn,P83.8
Umbilical granuloma,P83.81
Other specified conditions of integument specific to newborn,P83.88
Other specified disturbances of cerebral status of newborn,P91.8
Neonatal encephalopathy,P91.81
Neonatal encephalopathy in diseases classified elsewhere,P91.811
"Neonatal encephalopathy, unspecified",P91.819
Other specified disturbances of cerebral status of newborn,P91.88
"Abdominal testis, unilateral",Q53.11
Unilateral intraabdominal testis,Q53.111
Unilateral inguinal testis,Q53.112
Unilateral high scrotal testis,Q53.13
"Abdominal testis, bilateral",Q53.21
Bilateral intraabdominal testes,Q53.211
Bilateral inguinal testes,Q53.212
Bilateral high scrotal testes,Q53.23
Acute respiratory distress,R06.03
Unilateral non-palpable testicle,R39.83
Bilateral non-palpable testicles,R39.84
Unspecified multiple injuries,T07
"Unspecified multiple injuries, initial encounter",T07.XXXA
"Unspecified multiple injuries, subsequent encounter",T07.XXXD
"Unspecified multiple injuries, sequela",T07.XXXS
Other injury of unspecified body region,T14.8
"Other injury of unspecified body region, initial encounter",T14.8XXA
"Other injury of unspecified body region, subsequent encounter",T14.8XXD
"Other injury of unspecified body region, sequela",T14.8XXS
"Injury, unspecified",T14.90
"Injury, unspecified, initial encounter",T14.90XA
"Injury, unspecified, subsequent encounter",T14.90XD
"Injury, unspecified, sequela",T14.90XS
Suicide attempt,T14.91
"Suicide attempt, initial encounter",T14.91XA
"Suicide attempt, subsequent encounter",T14.91XD
"Suicide attempt, sequela",T14.91XS
